"","countyassigned","cases","population","rate"
"1","ADAMS",197,520076,38
"2","ALAMOSA",23,16329,141
"3","ARAPAHOE",294,655047,45
"4","ARCHULETA",3,13368,22
"5","BACA",7,3476,201
"6","BENT",4,5588,72
"7","BOULDER",216,330859,65
"8","BROOMFIELD",40,74469,54
"9","CHAFFEE",22,19514,113
"10","CHEYENNE",2,1743,115
"11","CLEAR CREEK",2,9392,21
"12","CONEJOS",10,7439,134
"13","COSTILLA",5,3486,143
"14","CROWLEY",10,5845,171
"15","CUSTER",3,4713,64
"16","DELTA",25,31159,80
"17","DENVER",365,717627,51
"18","DOLORES",1,2341,43
"19","DOUGLAS",167,360034,46
"20","EAGLE",23,55624,41
"21","EL PASO",449,731640,61
"22","ELBERT",12,26187,46
"23","FREMONT",36,48887,74
"24","GARFIELD",42,61720,68
"25","GILPIN",7,5799,121
"26","GRAND",4,15709,25
"27","GUNNISON",6,16943,35
"28","HINSDALE",0,795,0
"29","HUERFANO",5,6805,73
"30","INTERNATIONAL",4,NA,NA
"31","JACKSON",0,1374,0
"32","JEFFERSON",340,582780,58
"33","KIOWA",0,1461,0
"34","KIT CARSON",1,7077,14
"35","LA PLATA",32,55649,58
"36","LAKE",0,7417,0
"37","LARIMER",331,359698,92
"38","LAS ANIMAS",20,14559,137
"39","LINCOLN",3,5661,53
"40","LOGAN",11,21406,51
"41","MESA",222,155910,142
"42","MINERAL",0,860,0
"43","MOFFAT",12,13288,90
"44","MONTEZUMA",16,25857,62
"45","MONTROSE",41,42815,96
"46","MORGAN",5,29101,17
"47","OTERO",12,18674,64
"48","OURAY",3,4881,61
"49","PARK",6,17427,34
"50","PHILLIPS",1,4527,22
"51","PITKIN",31,17363,179
"52","PROWERS",5,12015,42
"53","PUEBLO",103,168429,61
"54","RIO BLANCO",3,6534,46
"55","RIO GRANDE",17,11555,147
"56","ROUTT",46,24842,185
"57","SAGUACHE",10,6414,156
"58","SAN JUAN",0,714,0
"59","SAN MIGUEL",4,8063,50
"60","SEDGWICK",0,2409,0
"61","SUMMIT",28,31017,90
"62","TELLER",9,24777,36
"63","WASHINGTON",1,4829,21
"64","WELD",183,331186,55
"65","YUMA",2,9999,20
